,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.019284,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.043216,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,2.864984,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
4,5,2.864986,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
5,6,3.865177,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,3.865181,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
7,8,3.898773,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,4.869372,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,4.869375,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,4.927372,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
11,12,5.865179,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
12,13,5.865182,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
13,14,5.86522,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
14,15,5.86851,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
15,16,5.868511,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
16,17,5.877257,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
17,18,5.877258,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
18,19,5.907315,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
19,20,5.907317,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
20,21,5.918542,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
21,22,5.918543,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
22,23,5.924467,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
23,24,5.924469,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
24,25,5.944233,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
25,26,5.944234,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
26,27,5.945367,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
27,28,5.945369,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
28,29,5.945763,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
29,30,5.945765,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
30,31,5.974439,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
31,32,5.974441,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
32,33,6.024174,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
33,34,6.024175,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
34,35,6.039622,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
35,36,6.039624,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
36,37,6.039632,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
37,38,6.182315,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
38,39,6.182318,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
39,40,6.21145,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
40,41,6.211454,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
41,42,6.367803,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
