,No.,Time,Source,Destination,Protocol,Length,Info
57,58,19.643855,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
58,59,19.643857,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
59,60,19.805363,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
60,61,19.805367,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
61,62,19.82305,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
62,63,19.823054,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
63,64,19.823728,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
64,65,19.823741,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
65,66,19.824406,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
66,67,19.824407,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
67,68,19.892292,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
68,69,19.892297,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
69,70,20.055908,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
70,71,20.05591,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
71,72,20.496749,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
72,73,20.496751,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
73,74,20.571435,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
74,75,20.571437,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
75,76,20.572216,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
76,77,20.572218,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
77,78,20.572863,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
78,79,20.572864,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
79,80,20.592047,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
80,81,20.592048,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
81,82,20.792451,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
82,83,20.792453,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
83,84,20.810577,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
84,85,20.810579,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
85,86,21.325616,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
86,87,21.325619,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
87,88,21.325693,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
88,89,21.325695,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
89,90,21.325747,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
90,91,21.325748,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
91,92,21.540532,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
92,93,21.540535,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
93,94,21.558817,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
94,95,21.558819,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
95,96,21.6657,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
96,97,21.665703,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
97,98,21.884518,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
98,99,21.884522,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
99,100,22.06094,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xc4c8 A teredo.ipv6.microsoft.com
100,101,22.077016,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0xc4c8 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
101,102,22.096451,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
102,103,22.096454,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
103,104,22.290422,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
104,105,22.290427,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
105,106,22.374884,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
106,107,22.374889,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
107,108,22.385161,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
108,109,22.385162,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
109,110,22.425998,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
110,111,22.426,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
111,112,22.464261,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
112,113,22.464265,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
113,114,22.626167,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
114,115,22.626171,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
115,116,22.626739,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
116,117,22.626741,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
117,118,22.640869,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
118,119,22.640871,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
119,120,22.824488,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
120,121,22.824492,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
121,122,23.049975,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x971a A www.msftncsi.com
122,123,23.082302,8.8.8.8,192.168.56.101,DNS,182,Standard query response 0x971a A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 96.17.176.171 A 96.17.176.177
123,124,23.089351,192.168.56.101,96.17.176.171,TCP,66,49160  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
124,125,23.102359,96.17.176.171,192.168.56.101,TCP,58,"80  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
125,126,23.102551,192.168.56.101,96.17.176.171,TCP,54,49160  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
126,127,23.103814,192.168.56.101,96.17.176.171,HTTP,151,GET /ncsi.txt HTTP/1.1 
127,128,23.103953,96.17.176.171,192.168.56.101,TCP,54,80  >  49160 [ACK] Seq=1 Ack=98 Win=65535 Len=0
128,129,23.120751,96.17.176.171,192.168.56.101,HTTP,233,HTTP/1.1 200 OK  (text/plain)
129,130,23.120766,96.17.176.171,192.168.56.101,TCP,54,"80  >  49160 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
130,131,23.12095,192.168.56.101,96.17.176.171,TCP,54,49160  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0
131,132,23.122015,192.168.56.101,96.17.176.171,TCP,54,"49160  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
132,133,23.122156,96.17.176.171,192.168.56.101,TCP,54,80  >  49160 [ACK] Seq=181 Ack=99 Win=65535 Len=0
133,134,23.369674,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
134,135,23.369678,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
135,136,23.572058,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
136,137,23.572062,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
137,138,24.125938,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xab76 A isatap
138,139,24.12594,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xab76 A isatap
139,140,24.1558,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
140,141,24.155804,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
141,142,24.155815,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
142,143,24.169477,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
143,144,24.169479,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
144,145,24.169483,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
145,146,24.232899,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xab76 A isatap
146,147,24.232901,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xab76 A isatap
147,148,24.321532,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
148,149,24.321536,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
149,150,24.432556,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
150,151,24.43256,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
151,152,25.080454,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
152,153,25.080458,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
153,154,25.095011,192.168.56.101,192.168.56.255,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
154,155,25.095013,192.168.56.101,192.168.56.255,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
155,156,25.187544,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
156,157,25.187547,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
157,158,25.448032,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
158,159,25.448033,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
159,160,25.478833,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
