,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,91.219.236.222,192.168.56.101,TCP,54,"443  >  49260 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
1,2,1.502059,91.219.236.222,192.168.56.101,TCP,54,"[TCP Retransmission] 443  >  49260 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
2,3,4.698508,91.219.236.222,192.168.56.101,TCP,54,"[TCP Retransmission] 443  >  49260 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
3,4,10.908661,91.219.236.222,192.168.56.101,TCP,54,"[TCP Retransmission] 443  >  49260 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
4,5,12.602063,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
5,6,12.602066,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,13.599837,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
7,8,13.599841,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
8,9,14.605547,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,14.605551,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,15.601297,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
11,12,15.601301,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
12,13,15.601312,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
13,14,15.608405,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
14,15,15.608407,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
15,16,15.628817,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
16,17,15.628819,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
17,18,15.633712,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
18,19,15.633713,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
19,20,15.633956,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
20,21,15.633957,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
21,22,15.641515,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
22,23,15.641516,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
23,24,15.682879,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
24,25,15.682882,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
25,26,15.683924,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
26,27,15.683926,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
27,28,15.684777,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
28,29,15.684779,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
29,30,15.741992,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
30,31,15.741994,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
31,32,15.774015,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
32,33,15.774016,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
33,34,15.774024,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
34,35,15.959707,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
35,36,15.95971,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
36,37,16.099874,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
37,38,16.099882,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
38,39,16.26438,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
39,40,16.264382,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
40,41,16.281456,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
41,42,16.281458,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
42,43,16.382725,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
43,44,16.382729,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
44,45,16.430926,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
45,46,16.430929,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
46,47,16.431003,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
47,48,16.431005,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
48,49,16.431179,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
49,50,16.43118,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
50,51,16.445983,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
51,52,16.445986,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
52,53,16.537848,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
53,54,16.537852,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
54,55,17.11242,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
55,56,17.112422,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
56,57,17.131952,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
57,58,17.131956,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
58,59,17.178571,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
59,60,17.178574,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
60,61,17.179128,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
61,62,17.179129,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
62,63,17.179735,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
63,64,17.179736,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
64,65,17.216225,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
65,66,17.216226,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
66,67,17.417456,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
67,68,17.41746,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
68,69,17.902236,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
69,70,17.902238,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
70,71,17.938937,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
71,72,17.938939,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
72,73,17.939005,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
73,74,17.939006,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
74,75,17.939053,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
75,76,17.939054,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
76,77,17.99386,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
77,78,17.993861,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
78,79,18.164721,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
79,80,18.164724,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
80,81,18.204906,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
81,82,18.204908,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
82,83,18.602499,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
83,84,18.623674,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
84,85,18.69369,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
85,86,18.693694,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
86,87,18.912206,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
87,88,18.912211,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
88,89,18.943762,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
89,90,18.943766,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
90,91,18.960497,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
91,92,18.9605,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
92,93,18.99244,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
93,94,18.992441,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
94,95,19.027922,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
95,96,19.027923,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
96,97,19.055872,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
97,98,19.055874,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
98,99,19.258899,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
99,100,19.258901,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
100,101,19.272618,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
101,102,19.27262,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
102,103,19.430823,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
103,104,19.430827,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
104,105,19.676145,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
105,106,19.693719,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
106,107,19.693722,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
107,108,19.716287,8.8.8.8,192.168.56.101,DNS,182,Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 96.17.176.171 A 96.17.176.177
108,109,19.72625,192.168.56.101,96.17.176.171,TCP,66,49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
