,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.022765,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.046292,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,2.913064,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
4,5,2.913067,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
5,6,3.913529,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,3.913533,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
7,8,3.994969,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,4.913501,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,4.913505,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,5.022361,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
11,12,5.915274,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
12,13,5.915289,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
13,14,5.915326,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
14,15,5.930632,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
15,16,5.930634,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
16,17,5.931175,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
17,18,5.931176,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
18,19,5.934951,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
19,20,5.934953,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
20,21,5.938932,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
21,22,5.938934,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
22,23,5.977324,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
23,24,5.977326,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
24,25,5.995879,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
25,26,5.995881,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
26,27,5.996119,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
27,28,5.99612,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
28,29,5.996725,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
29,30,5.996727,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
30,31,6.038437,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
31,32,6.038438,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
32,33,6.038774,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
33,34,6.038789,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
34,35,6.072778,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
35,36,6.07278,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
36,37,6.072787,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
37,38,6.247316,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
38,39,6.247319,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
39,40,6.252884,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
40,41,6.252887,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
41,42,6.413276,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
42,43,6.41328,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
43,44,6.55678,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
44,45,6.556782,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
45,46,6.575772,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
46,47,6.575774,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
47,48,6.727301,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
48,49,6.727309,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
49,50,6.741346,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
50,51,6.741349,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
51,52,6.741409,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
52,53,6.74141,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
53,54,6.741475,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
54,55,6.741476,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
55,56,6.820658,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
56,57,6.820661,192.168.56.101,239.255.255.250,UDP,666,62407  >  3702 Len=624
57,58,6.991725,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
58,59,6.991727,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
59,60,7.394045,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
60,61,7.394047,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
61,62,7.491389,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
62,63,7.491394,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
63,64,7.491847,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 A wpad
