,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,128.31.0.39,192.168.56.101,TCP,1514,9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
1,2,6.974677,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
2,3,21.072991,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
3,4,24.459453,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,25.487075,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,26.508571,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,28.424973,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,29.451448,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,30.476612,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
9,10,32.357302,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,32.357304,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
11,12,32.502303,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
12,13,33.35814,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,33.358158,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
14,15,33.515087,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
15,16,34.360789,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
16,17,34.360794,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
17,18,34.539794,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
18,19,35.357641,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
19,20,35.357645,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
20,21,35.357674,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
