,No.,Time,Source,Destination,Protocol,Length,Info
186,187,26.080904,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
187,188,26.080906,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
188,189,26.335873,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
189,190,26.335877,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
190,191,27.067422,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
191,192,27.067426,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
192,193,28.065614,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
193,194,28.065618,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
194,195,29.064208,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
195,196,29.064211,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
196,197,29.161757,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x96f1 A dns.msftncsi.com
197,198,30.068579,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
198,199,30.068581,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
199,200,30.161662,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x96f1 A dns.msftncsi.com
200,201,30.814836,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
201,202,30.814838,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
202,203,31.158779,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x96f1 A dns.msftncsi.com
203,204,31.56604,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
204,205,31.566044,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
205,206,32.314862,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
206,207,32.314866,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
207,208,33.065283,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
208,209,33.065285,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
209,210,33.16109,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x96f1 A dns.msftncsi.com
210,211,33.177755,8.8.8.8,192.168.56.101,DNS,92,Standard query response 0x96f1 A dns.msftncsi.com A 131.107.255.255
211,212,33.178501,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e AAAA dns.msftncsi.com
212,213,33.197484,8.8.8.8,192.168.56.101,DNS,104,Standard query response 0x6e6e AAAA dns.msftncsi.com AAAA fd3e:4f5a:5b81::1
213,214,33.818889,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
214,215,33.818894,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
215,216,34.566874,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
216,217,34.566877,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
217,218,35.314232,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
218,219,35.314236,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
219,220,36.066719,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
220,221,36.066723,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
221,222,36.066784,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
222,223,36.066786,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
223,224,36.067756,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
224,225,36.067758,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
225,226,38.482162,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
226,227,38.482164,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
227,228,48.705621,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
228,229,48.705626,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
229,230,51.706667,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
230,231,51.706671,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
231,232,53.330328,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
232,233,53.330329,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
233,234,53.426929,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
234,235,53.426931,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
235,236,53.62791,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
236,237,53.627912,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
237,238,54.377821,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
238,239,54.377823,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
239,240,54.783987,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
240,241,54.783991,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
241,242,55.127284,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
242,243,55.127286,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
243,244,56.957988,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
244,245,56.98158,8.8.8.8,192.168.56.101,DNS,119,Standard query response 0x09c0 A clients2.google.com CNAME clients.l.google.com A 142.251.33.14
245,246,61.354375,192.168.56.101,142.251.33.14,TCP,66,49167  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
246,247,61.380823,142.251.33.14,192.168.56.101,TCP,58,"443  >  49167 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
247,248,61.381213,192.168.56.101,142.251.33.14,TCP,54,49167  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
248,249,62.846719,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xea6d A teredo.ipv6.microsoft.com
249,250,62.872052,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0xea6d No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
250,251,64.463952,192.168.56.101,142.251.33.14,TLSv1.2,215,Client Hello
251,252,64.464222,142.251.33.14,192.168.56.101,TCP,54,443  >  49167 [ACK] Seq=1 Ack=162 Win=65535 Len=0
252,253,64.492134,142.251.33.14,192.168.56.101,TLSv1.2,1514,Server Hello
253,254,64.492142,142.251.33.14,192.168.56.101,TCP,1514,443  >  49167 [ACK] Seq=1461 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
254,255,64.492596,192.168.56.101,142.251.33.14,TCP,54,49167  >  443 [ACK] Seq=162 Ack=2921 Win=64240 Len=0
255,256,64.492722,142.251.33.14,192.168.56.101,TCP,1514,443  >  49167 [ACK] Seq=2921 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
256,257,64.492731,142.251.33.14,192.168.56.101,TCP,1514,443  >  49167 [ACK] Seq=4381 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
257,258,64.492732,142.251.33.14,192.168.56.101,TLSv1.2,874,"Certificate, Server Key Exchange, Server Hello Done"
258,259,64.493023,192.168.56.101,142.251.33.14,TCP,54,49167  >  443 [ACK] Seq=162 Ack=6661 Win=64240 Len=0
259,260,64.598981,192.168.56.101,142.251.33.14,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
260,261,64.599159,142.251.33.14,192.168.56.101,TCP,54,443  >  49167 [ACK] Seq=6661 Ack=288 Win=65535 Len=0
261,262,64.615398,142.251.33.14,192.168.56.101,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
262,263,64.817554,192.168.56.101,142.251.33.14,TCP,54,49167  >  443 [ACK] Seq=288 Ack=6712 Win=64189 Len=0
263,264,65.057474,192.168.56.101,142.251.33.14,TLSv1.2,577,Application Data
264,265,65.057656,142.251.33.14,192.168.56.101,TCP,54,443  >  49167 [ACK] Seq=6712 Ack=811 Win=65535 Len=0
265,266,65.091083,142.251.33.14,192.168.56.101,TLSv1.2,333,Application Data
266,267,65.286051,192.168.56.101,142.251.33.14,TCP,54,"49167  >  443 [RST, ACK] Seq=811 Ack=6991 Win=0 Len=0"
267,268,96.07176,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
268,269,96.071764,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
269,270,106.251215,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x69e6 A time.windows.com
270,271,107.236865,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x69e6 A time.windows.com
271,272,108.241207,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x69e6 A time.windows.com
272,273,110.241607,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x69e6 A time.windows.com
273,274,114.23766,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x69e6 A time.windows.com
274,275,118.243404,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xe6e6 A time.windows.com
275,276,119.240298,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xe6e6 A time.windows.com
276,277,120.237967,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xe6e6 A time.windows.com
277,278,122.242679,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xe6e6 A time.windows.com
278,279,126.244283,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xe6e6 A time.windows.com
