"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"2","1.029561","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"3","2.047673","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"4","3.821276","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"5","4.831689","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","5.859807","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"7","7.883468","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"8","8.895678","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"9","9.920788","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"10","11.946206","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"11","12.960202","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"12","13.983622","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"13","16.011925","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"14","17.024130","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"15","17.901966","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"16","17.901969","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"17","18.047637","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"18","18.906104","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"19","18.906108","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"20","19.903107","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"21","19.903110","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"22","20.078372","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"23","20.901988","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"24","20.901992","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"25","20.902021","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"26","20.904781","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"27","20.904782","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"28","20.912720","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"29","20.912722","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"30","20.939664","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"31","20.939666","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"32","20.942420","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"33","20.942422","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"34","20.954012","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"35","20.954016","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"36","20.986213","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"37","20.986215","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"38","20.987798","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"39","20.987800","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"40","20.988370","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"41","20.988371","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"42","21.012946","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"43","21.012947","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"44","21.046097","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"45","21.046099","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"46","21.097582","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"47","21.097584","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"48","21.097592","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
