"Source","Destination","Protocol","Info"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"192.168.56.101","172.217.1.238","TCP","49167  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"192.168.56.101","172.217.1.238","TCP","49167  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"192.168.56.101","172.217.1.238","TLSv1.2","Client Hello"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [ACK] Seq=1 Ack=162 Win=65535 Len=0"
"172.217.1.238","192.168.56.101","TLSv1.2","Server Hello"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [PSH, ACK] Seq=1413 Ack=162 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"192.168.56.101","172.217.1.238","TCP","49167  >  443 [ACK] Seq=162 Ack=2825 Win=64240 Len=0"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [PSH, ACK] Seq=2825 Ack=162 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [PSH, ACK] Seq=4237 Ack=162 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"172.217.1.238","192.168.56.101","TLSv1.2","Certificate, Server Key Exchange, Server Hello Done"
"192.168.56.101","172.217.1.238","TCP","49167  >  443 [ACK] Seq=162 Ack=6661 Win=64240 Len=0"
"192.168.56.101","172.217.1.238","TLSv1.2","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"172.217.1.238","192.168.56.101","TCP","443  >  49167 [ACK] Seq=6661 Ack=288 Win=65535 Len=0"
