,TLSv1.2,TCP,DNS,TLSv1.3,ICMPv6,ICMP,QUIC,D: 10.192.58.175,D: 162.159.133.234,D: 129.207.7.31,D: 54.197.203.68,D: 142.250.114.188,D: 104.192.142.11,D: 107.167.110.211,D: 185.199.110.154,D: 140.82.112.4,D: 185.199.108.133,D: 52.10.227.191,D: ff02::1,D: 104.17.32.82,D: 107.167.110.216,D: 140.82.114.6,D: 140.82.112.21,D: 140.82.114.25,D: 142.250.138.97,D: 104.18.7.29,D: 104.21.94.101,D: 142.250.114.102,D: 142.250.113.113,D: 35.169.6.138,D: 142.251.32.142,D: 129.207.96.52,D: 155.133.253.34,D: 44.209.239.90,S: 162.159.133.234,S: 10.192.58.175,S: 129.207.7.31,S: 54.197.203.68,S: 142.250.114.188,S: 104.192.142.11,S: 107.167.110.211,S: 185.199.110.154,S: 140.82.112.4,S: 185.199.108.133,S: 52.10.227.191,S: fe80::8898:c0b9:a59e:2fb1,S: 107.167.110.216,S: 140.82.112.21,S: 140.82.114.6,S: 140.82.114.25,S: 142.250.138.97,S: 104.18.7.29,S: 104.17.32.82,S: 142.250.114.102,S: 104.21.94.101,S: 142.250.113.113,S: 35.169.6.138,S: 142.251.32.142,S: fe80::f542:efbc:27f3:c779,S: 155.133.253.34,S: 44.209.239.90,HTTP,D: ff02::1:ffea:7db4,D: 140.82.114.26,D: 140.82.113.6,D: 72.21.81.240,S: fe80::e0c1:4f3e:8946:f7c1,S: fe80::b542:fda5:6a9e:efd8,S: ::,S: fe80::2dd4:88b5:72ea:7db4,S: fe80::e167:247c:917e:32f3,S: 140.82.114.26,S: fe80::e883:32c3:7499:fb52,S: 140.82.113.6,S: 72.21.81.240,UDP,RTCP,LLMNR,NBNS,MDNS,ARP,BROWSER,SSLv2,SSDP,AJP13,TPLINK-SMARTHOME/JSON,IGMPv3,OCSP,D: 66.22.245.136,D: 184.51.121.32,D: 96.17.176.8,D: 10.0.0.19,D: 10.0.0.1,D: 96.17.176.51,D: ff02::1:3,D: 224.0.0.252,D: 23.77.201.35,D: 10.0.0.255,D: 224.0.0.251,D: ff02::fb,D: 216.98.50.146,D: 184.86.171.203,D: 142.250.138.101,D: 96.113.168.27,D: 184.86.120.77,D: 10.0.0.9,D: 10.0.0.4,D: 162.159.138.234,D: 72.247.202.177,D: 10.0.0.5,D: 184.51.121.41,D: 10.0.0.7,D: 10.0.0.10,D: IntelCor_3e:9a:09,D: Google_1e:dd:cd,D: 104.18.28.212,D: 172.217.14.174,D: 162.254.192.71,D: 216.58.193.131,D: 184.51.121.42,D: 172.67.21.227,D: 151.101.180.134,D: 151.101.64.134,D: 143.204.165.37,D: 142.250.138.139,D: 40.97.212.2,D: Google_68:61:00,D: 142.251.46.138,D: 54.173.173.211,D: 76.76.21.61,D: Google_3b:38:24,D: 18.235.241.239,D: 162.159.136.234,D: 162.254.199.131,D: 52.96.121.210,D: 13.249.74.33,D: 140.82.112.26,D: 239.255.255.250,D: QingdaoI_84:08:24,D: 3.215.101.116,D: 184.51.121.11,D: 142.250.138.138,D: 173.194.143.138,D: 142.250.138.188,D: 255.255.255.255,D: 185.26.182.112,D: 3.231.247.29,D: 72.21.81.200,D: 142.251.32.238,D: 52.96.121.146,D: 152.199.24.163,D: 224.0.0.1,D: 224.0.0.22,D: 162.159.137.232,D: 52.239.236.228,D: 104.18.25.243,D: 34.236.14.177,D: 216.219.115.11,D: 142.251.32.174,D: Broadcast,D: 104.192.142.9,D: 96.113.168.26,D: 162.254.192.5,D: 142.250.138.100,S: 10.0.0.19,S: 66.22.245.136,S: 184.51.121.32,S: 96.17.176.8,S: 10.0.0.1,S: 96.17.176.51,S: fe80::2572:d994:dc32:7f4a,S: 23.77.201.35,S: 216.98.50.146,S: 142.250.138.101,S: 184.86.171.203,S: 96.113.168.27,S: 184.86.120.77,S: 10.0.0.9,S: 10.0.0.4,S: 162.159.138.234,S: 72.247.202.177,S: 10.0.0.5,S: 184.51.121.41,S: Google_1e:dd:cd,S: IntelCor_3e:9a:09,S: 10.0.0.7,S: 10.0.0.10,S: 10.0.0.14,S: 104.18.28.212,S: 172.217.14.174,S: 162.254.192.71,S: 216.58.193.131,S: 184.51.121.42,S: 172.67.21.227,S: 151.101.180.134,S: 151.101.64.134,S: 143.204.165.37,S: 10.0.0.12,S: 10.0.0.18,S: fe80::b04f:efba:3a69:6149,S: 10.0.0.6,S: 40.97.212.2,S: 142.250.138.139,S: Google_68:61:00,S: 142.251.46.138,S: 54.173.173.211,S: 76.76.21.61,S: Google_3b:38:24,S: 18.235.241.239,S: 162.159.136.234,S: 162.254.199.131,S: fe80::3232:35ff:fe84:824,S: 52.96.121.210,S: 13.249.74.33,S: 140.82.112.26,S: QingdaoI_84:08:24,S: 3.215.101.116,S: 184.51.121.11,S: 142.250.138.138,S: 173.194.143.138,S: 142.250.138.188,S: 185.26.182.112,S: 3.231.247.29,S: 72.21.81.200,S: 142.251.32.238,S: 52.96.121.146,S: 152.199.24.163,S: 162.159.137.232,S: 52.239.236.228,S: 104.18.25.243,S: 34.236.14.177,S: 216.219.115.11,S: 142.251.32.174,S: 104.192.142.9,S: 96.113.168.26,S: 162.254.192.5,S: 142.250.138.100
0,177.19047619047618,4906.714285714285,96.42857142857143,2368.047619047619,0.42857142857142855,0.047619047619047616,6.857142857142857,1385.4938271604938,0.4444444444444444,8.345679012345679,2.0864197530864197,0.012345679012345678,0.04938271604938271,9.679012345679013,3.1604938271604937,16.901234567901238,3.1604938271604937,0.012345679012345678,0.1111111111111111,5.444444444444445,1.7777777777777777,4.0,2.7777777777777777,1.493827160493827,9.679012345679013,1.7777777777777777,3.1604938271604937,2.7777777777777777,4.0,0.012345679012345678,1.2345679012345678,0.04938271604938271,0.012345679012345678,0.04938271604938271,1.0,1328.1975308641975,4.938271604938271,1.493827160493827,0.012345679012345678,0.19753086419753085,5.444444444444445,3.1604938271604937,26.12345679012346,4.938271604938271,0.012345679012345678,0.04938271604938271,1.2345679012345678,1.493827160493827,11.864197530864198,0.6049382716049383,9.0,2.0864197530864197,2.7777777777777777,3.1604938271604937,1.0,11.864197530864198,0.012345679012345678,1.7777777777777777,0.012345679012345678,0.012345679012345678,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,128.0,234.72222222222226,0.8888888888888888,34.72222222222223,4.5,0.0,0.0,117.1875,1.6875,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.083333333333334,0.020833333333333332,3.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,1.6666666666666667,79.35000000000001,0.06666666666666667,0.0,0.0,0.8166666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.066666666666666,0.016666666666666666,2.8166666666666664,0.0,0.06666666666666667,0.06666666666666667,0.2222222222222222,0.020833333333333332,0.020833333333333332,3.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,1.6666666666666667,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,36162.15,4640030984.066668,60.0,58452114.016666666,0.0,0.016666666666666666,1560.6000000000001,0.0,0.0,0.0,0.0,0.0,0.7041666666666666,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.705627705627706,0.06926406926406926,0.0,0.0,0.0,0.0,0.0,0.35064935064935066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.004329004329,0.0,7348.266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3243375.0,3285.6,9.6,2.8166666666666664,2124.15,14.016666666666666,0.016666666666666666,984.15,1.6666666666666667,1.6666666666666667,0.06666666666666667,0.26666666666666666,0.016666666666666666,42800.104166666664,46.81666666666667,847.5041666666667,1152352080.15,5.4,84.01666666666667,0.6,0.6,4.266666666666667,0.8166666666666667,297.03749999999997,30.816666666666666,0.15,12.15,23.4375,1953912.6041666665,601.6666666666667,8.816666666666666,8.816666666666666,1.6666666666666667,1.6666666666666667,8.816666666666666,168.3375,8.816666666666666,8.816666666666666,0.8166666666666667,0.10416666666666667,522.15,0.20416666666666666,0.0375,5.7041666666666675,7.0041666666666655,0.0375,0.0375,0.10416666666666667,0.0375,1.6666666666666667,0.15,0.016666666666666666,27.3375,0.4166666666666667,0.20416666666666666,0.06666666666666667,1.35,0.8166666666666667,5240101.537500001,0.06666666666666667,0.0375,0.06666666666666667,0.4166666666666667,0.0375,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.06666666666666667,0.0375,0.26666666666666666,0.016666666666666666,0.5041666666666667,0.016666666666666666,0.016666666666666666,0.004166666666666667,0.0375,2.0166666666666666,0.3375,0.06666666666666667,0.016666666666666666,0.004166666666666667,3.5041666666666664,0.004166666666666667,0.3375,687689.2041666666,20221.70416666667,2.604166666666667,26453946.251082253,540705.5238095238,62.33766233766234,3981.3030303030305,16.10822510822511,320.27705627705626,5.6103896103896105,49.56277056277056,0.15584415584415584,58.25108225108225,11.705627705627705,183628943.06926405,15202.926406926406,13.575757575757576,11.25974025974026,0.6233766233766234,3.6406926406926408,7.636363636363636,4115.25974025974,0.10822510822510822,0.8484848484848485,20.61038961038961,11.25974025974026,0.15584415584415584,35981.33766233766,0.21212121212121213,0.017316017316017316,8.766233766233766,102.66666666666667,0.017316017316017316,0.03896103896103896,0.06926406926406926,0.017316017316017316,0.4329004329004329,18.857142857142858,16.10822510822511,0.004329004329004329,0.15584415584415584,1.4025974025974026,0.017316017316017316,64.43290043290044,0.8484848484848485,0.21212121212121213,0.10822510822510822,2.4935064935064934,0.7316017316017316,106153106.7056277,0.004329004329004329,0.21212121212121213,0.03896103896103896,0.15584415584415584,0.03896103896103896,0.06926406926406926,0.004329004329004329,0.004329004329004329,0.004329004329004329,0.017316017316017316,0.10822510822510822,0.15584415584415584,0.03896103896103896,0.5238095238095237,0.017316017316017316,0.03896103896103896,1.251082251082251,0.35064935064935066,0.06926406926406926,0.017316017316017316,0.004329004329004329,4.432900432900433,0.4329004329004329,73944515.25974026,739162.2900432901,2.705627705627706
