,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,1.02425,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
2,3,1.101851,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
3,4,1.101855,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
4,5,2.047377,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
5,6,2.089578,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
6,7,2.089582,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
7,8,3.089788,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
8,9,3.089791,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
9,10,4.023737,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
10,11,4.089488,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,4.089491,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
12,13,4.089521,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
13,14,4.10632,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
14,15,4.106321,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
15,16,4.110453,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
16,17,4.110454,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
17,18,4.118586,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
18,19,4.118588,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
19,20,4.148362,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
20,21,4.148364,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
21,22,4.17874,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
22,23,4.178744,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
23,24,4.179141,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
24,25,4.179143,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
25,26,4.179472,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
26,27,4.179473,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
27,28,4.189696,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
28,29,4.189698,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
29,30,4.215504,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
30,31,4.215505,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
31,32,4.283331,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
32,33,4.283333,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
33,34,4.283342,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
34,35,4.498775,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
35,36,4.49878,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
36,37,4.593642,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
37,38,4.593645,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
38,39,4.816424,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
39,40,4.816426,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
40,41,4.836594,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
41,42,4.836596,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
42,43,4.917195,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
43,44,4.917199,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
44,45,4.917882,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
45,46,4.917884,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
46,47,4.918971,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
47,48,4.918973,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
48,49,4.932726,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
49,50,4.93273,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
50,51,5.016509,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
51,52,5.016513,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
52,53,5.11771,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
53,54,5.117714,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
54,55,5.650833,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
55,56,5.650835,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
56,57,5.667179,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
57,58,5.667182,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
58,59,5.667291,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
59,60,5.667293,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
60,61,5.66736,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
61,62,5.667361,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
62,63,5.683063,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
63,64,5.683065,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
64,65,5.745901,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
65,66,5.745902,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
66,67,5.949799,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
67,68,5.949802,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
68,69,6.419064,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
69,70,6.419068,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
70,71,6.419126,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
71,72,6.419127,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
72,73,6.419185,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
73,74,6.419186,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
74,75,6.436117,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
75,76,6.436119,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
76,77,6.556141,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
77,78,6.556143,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
78,79,6.725763,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
79,80,6.725766,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
80,81,6.766098,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
81,82,6.7661,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
82,83,7.166432,***.***.***.***,***.***.***.***,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
83,84,7.17642,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
84,85,7.176423,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
85,86,7.448949,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
86,87,7.448953,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
87,88,7.497761,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
88,89,7.497764,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
89,90,7.499532,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
90,91,7.499534,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
91,92,7.559972,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
