,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
1,2,2e-06,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
2,3,0.997918,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
3,4,0.997922,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
4,5,2.000349,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
5,6,2.000354,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
6,7,2.080161,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,2.999305,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,2.99935,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
9,10,2.999377,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
10,11,3.001197,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
11,12,3.001198,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
12,13,3.012091,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
13,14,3.012092,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
14,15,3.030914,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
15,16,3.030916,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
16,17,3.034456,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
17,18,3.034458,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
18,19,3.049253,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
19,20,3.049255,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
20,21,3.077187,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
21,22,3.077189,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
