,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,1.024406,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
2,3,2.048116,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
3,4,3.922435,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
4,5,4.928567,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
5,6,5.951878,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
6,7,7.424077,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,8.44786,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,9.472362,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
9,10,11.233818,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
10,11,12.256352,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,13.284449,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
12,13,14.501001,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
13,14,15.520137,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
14,15,15.993377,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
15,16,15.99338,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
16,17,16.543862,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
17,18,16.994276,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
18,19,16.994279,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
19,20,17.768468,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
20,21,17.993719,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
21,22,17.993723,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
22,23,18.788146,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
23,24,18.994218,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
24,25,18.994223,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
25,26,18.994255,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
26,27,19.001755,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
27,28,19.001758,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
28,29,19.003747,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
29,30,19.003748,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
30,31,19.023213,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
31,32,19.023215,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
32,33,19.027007,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
33,34,19.027008,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
34,35,19.055377,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
35,36,19.05538,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
36,37,19.076384,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
37,38,19.076386,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
38,39,19.076646,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
39,40,19.076648,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
40,41,19.077189,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
41,42,19.07719,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
42,43,19.102994,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
43,44,19.102996,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
44,45,19.13482,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
45,46,19.134821,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
46,47,19.13645,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
47,48,19.136474,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
48,49,19.136481,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
49,50,19.313962,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
50,51,19.313966,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
51,52,19.374653,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
52,53,19.374656,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
53,54,19.493428,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
54,55,19.493432,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
55,56,19.623624,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
56,57,19.623626,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
57,58,19.643855,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
58,59,19.643857,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
59,60,19.805363,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
60,61,19.805367,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
61,62,19.82305,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
62,63,19.823054,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
63,64,19.823728,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
64,65,19.823741,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
65,66,19.824406,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
66,67,19.824407,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
67,68,19.892292,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
68,69,19.892297,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
69,70,20.055908,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
70,71,20.05591,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
71,72,20.496749,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
72,73,20.496751,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
73,74,20.571435,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
74,75,20.571437,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
75,76,20.572216,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
76,77,20.572218,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
77,78,20.572863,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
78,79,20.572864,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
79,80,20.592047,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
