,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,0.650355,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
2,3,0.650358,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
3,4,1.023524,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
4,5,1.65205,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
5,6,1.652053,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
6,7,2.048121,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,2.65051,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
8,9,2.650514,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
9,10,3.650867,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
10,11,3.65087,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,3.650894,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
12,13,3.65978,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
13,14,3.659781,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
14,15,3.682117,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
15,16,3.68212,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
16,17,3.687111,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
17,18,3.687113,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
18,19,3.701913,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
19,20,3.701916,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
20,21,3.714394,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
21,22,3.714398,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
22,23,3.736747,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
23,24,3.736751,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
24,25,3.736876,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
25,26,3.736877,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
26,27,3.738412,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
27,28,3.738415,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
28,29,3.791847,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
29,30,3.791849,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
30,31,3.814336,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
31,32,3.814338,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
32,33,3.814345,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
33,34,3.978459,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
34,35,3.978461,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
35,36,4.150501,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
36,37,4.150506,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
37,38,4.295936,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
38,39,4.295937,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
39,40,4.317939,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
40,41,4.317941,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
41,42,4.464189,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
42,43,4.464193,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
43,44,4.47857,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
44,45,4.478573,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
45,46,4.478635,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
46,47,4.478637,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
47,48,4.478675,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
48,49,4.478676,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
49,50,4.482477,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
50,51,4.48248,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
51,52,4.573034,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
52,53,4.573038,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
53,54,5.150356,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
54,55,5.150358,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
55,56,5.215621,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
56,57,5.215625,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
57,58,5.229481,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
58,59,5.229485,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
59,60,5.229544,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
60,61,5.229545,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
61,62,5.229576,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
62,63,5.229577,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
63,64,5.262035,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
64,65,5.262037,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
65,66,5.465197,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
66,67,5.465201,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
67,68,5.966881,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
68,69,5.966884,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
69,70,5.978816,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
70,71,5.978819,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
71,72,5.978878,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
72,73,5.978879,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
73,74,5.978943,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
74,75,5.978946,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
75,76,6.072856,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
76,77,6.072857,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
77,78,6.214577,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
78,79,6.21458,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
79,80,6.276083,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
80,81,6.276085,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
81,82,6.692033,***.***.***.***,***.***.***.***,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
82,83,6.708909,***.***.***.***,***.***.***.***,DNS,158,Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
83,84,6.749913,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
84,85,6.749917,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
85,86,6.963177,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
86,87,6.963181,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
87,88,6.985071,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
88,89,6.985074,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
89,90,7.02548,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
90,91,7.025484,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
91,92,7.026959,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
92,93,7.026961,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
93,94,7.058703,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
94,95,7.058704,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
95,96,7.090847,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
96,97,7.090852,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
97,98,7.292906,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
98,99,7.292908,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
99,100,7.307411,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
100,101,7.307415,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
101,102,7.487761,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
102,103,7.487764,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
103,104,7.726527,***.***.***.***,***.***.***.***,DNS,76,Standard query 0xab76 A www.msftncsi.com
104,105,7.775826,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
105,106,7.775829,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
106,107,7.776375,***.***.***.***,***.***.***.***,DNS,182,Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A ***.***.***.*** A ***.***.***.***
107,108,7.784789,***.***.***.***,***.***.***.***,TCP,66,49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
108,109,7.801247,***.***.***.***,***.***.***.***,TCP,58,"80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
109,110,7.801443,***.***.***.***,***.***.***.***,TCP,54,49159  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
110,111,7.80267,***.***.***.***,***.***.***.***,HTTP,151,GET /ncsi.txt HTTP/1.1 
111,112,7.802806,***.***.***.***,***.***.***.***,TCP,54,80  >  49159 [ACK] Seq=1 Ack=98 Win=65535 Len=0
112,113,7.818966,***.***.***.***,***.***.***.***,HTTP,233,HTTP/1.1 200 OK  (text/plain)
113,114,7.819096,***.***.***.***,***.***.***.***,TCP,54,"80  >  49159 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
114,115,7.81962,***.***.***.***,***.***.***.***,TCP,54,49159  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0
115,116,7.820029,***.***.***.***,***.***.***.***,TCP,54,"49159  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
116,117,7.820144,***.***.***.***,***.***.***.***,TCP,54,80  >  49159 [ACK] Seq=181 Ack=99 Win=65535 Len=0
117,118,8.22916,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
118,119,8.229164,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
119,120,8.533192,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
120,121,8.533194,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
121,122,8.560911,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
122,123,8.560917,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
123,124,8.560937,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
124,125,8.638079,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
125,126,8.638081,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
126,127,8.846573,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
127,128,8.846577,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
128,129,8.979017,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
129,130,8.979021,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
130,131,9.592484,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
131,132,9.592489,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
132,133,9.733568,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
133,134,9.733572,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
134,135,9.757446,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
135,136,9.75745,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
136,137,10.048846,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
137,138,10.048851,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
138,139,10.088675,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
139,140,10.088677,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
140,141,10.120027,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
141,142,10.120029,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
142,143,10.150504,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
143,144,10.150507,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
144,145,10.291735,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
145,146,10.291736,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
146,147,10.307592,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
147,148,10.307601,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
148,149,10.337806,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
149,150,10.337811,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
150,151,11.137431,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
151,152,11.137434,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
152,153,11.231739,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
153,154,11.231742,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
154,155,11.247788,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
155,156,11.24779,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
156,157,11.465918,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
157,158,11.465922,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
158,159,12.19867,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
159,160,12.198674,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
160,161,12.729724,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
161,162,12.729728,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
162,163,12.948215,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
163,164,12.94822,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
164,165,13.042421,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
165,166,13.042424,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
166,167,13.705158,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
167,168,13.70516,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
168,169,13.809048,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
169,170,13.80905,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
170,171,14.010203,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
171,172,14.010205,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
172,173,14.228844,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
173,174,14.228849,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
174,175,14.768367,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
175,176,14.768371,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
176,177,15.510277,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
177,178,15.510281,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
178,179,15.728596,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
179,180,15.7286,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
