"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"2","1.022151","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"3","2.042897","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"4","3.957580","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"5","4.987021","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","6.009921","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"7","8.037276","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"8","9.052225","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"9","10.075145","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"10","12.101624","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"11","13.114550","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"12","14.071721","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"13","14.071723","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"14","14.141613","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"15","15.072863","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"16","15.072867","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"17","16.072817","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"18","16.072820","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"19","16.165721","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"20","17.076873","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"21","17.076877","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"22","17.076911","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"23","17.080018","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"24","17.080020","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"25","17.090704","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"26","17.090706","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"27","17.108360","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"28","17.108363","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"29","17.111215","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"30","17.111216","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"31","17.127456","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"32","17.127458","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"33","17.154782","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"34","17.154784","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"35","17.155048","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"36","17.155049","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"37","17.155398","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"38","17.155399","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"39","17.183117","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"40","17.183119","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"41","17.213876","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"42","17.213878","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"43","17.237642","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"44","17.237644","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"45","17.237652","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"46","17.387519","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"47","17.387523","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"48","17.416276","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"49","17.416279","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"50","17.579159","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"51","17.579163","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"52","17.736336","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
