"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"2","1.024055","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"3","2.049327","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"4","4.020181","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"5","5.024245","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","6.050153","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"7","8.075491","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"8","9.088494","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"9","10.116724","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"10","12.143930","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"11","13.156176","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"12","14.180763","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"13","16.204963","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"14","17.144538","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"15","17.144540","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"16","17.216004","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"17","18.146579","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"18","18.146583","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"19","18.239992","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"20","19.148100","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"21","19.148104","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"22","20.145685","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"23","20.145690","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"24","20.145709","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"25","20.147388","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xd671 A isatap"
"26","20.147389","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xd671 A isatap"
"27","20.151896","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"28","20.151898","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"29","20.172326","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"30","20.172328","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"31","20.174454","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"32","20.174456","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"33","20.193912","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"34","20.193914","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"35","20.224915","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"36","20.224918","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"37","20.225774","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"38","20.225776","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"39","20.226068","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"40","20.226069","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"41","20.255598","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xd671 A isatap"
"42","20.255599","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xd671 A isatap"
"43","20.270213","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"44","20.270215","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"45","20.304219","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"46","20.304221","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"47","20.304228","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"48","20.458621","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"49","20.458623","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"50","20.488034","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"51","20.488036","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"52","20.646608","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"53","20.646612","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"54","20.793736","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"55","20.793738","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"56","20.813956","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"57","20.813958","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"58","20.972063","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"59","20.972067","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"60","20.972146","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"61","20.972147","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"62","20.972181","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"63","20.972183","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"64","20.978791","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"65","20.978793","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"66","21.066861","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"67","21.066865","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"68","21.206386","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"69","21.206390","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"70","21.642536","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"71","21.642538","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"72","21.725010","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"73","21.725015","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"74","21.725086","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"75","21.725087","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"76","21.725133","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"77","21.725134","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"78","21.740099","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"79","21.740100","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"80","21.942179","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"81","21.942181","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"82","21.963537","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"83","21.963539","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"84","22.472515","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"85","22.472519","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"86","22.472576","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"87","22.472578","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"88","22.472614","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"89","22.472615","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"90","22.716194","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"91","22.716198","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"92","22.738561","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"93","22.738564","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"94","22.831506","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"95","22.831519","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"96","23.024924","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"97","23.024926","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"98","23.193694","192.168.56.101","8.8.8.8","DNS","85","Standard query 0x971a A teredo.ipv6.microsoft.com"
"99","23.215359","8.8.8.8","192.168.56.101","DNS","158","Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com"
"100","23.230424","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"101","23.230427","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"102","23.441142","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"103","23.441146","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"104","23.488868","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"105","23.488872","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"106","23.537367","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"107","23.537368","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"108","23.566794","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"109","23.566796","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"110","23.597855","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"111","23.597857","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"112","23.769525","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"113","23.769529","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"114","23.787298","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"115","23.787300","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"116","23.801287","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"117","23.801288","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"118","23.974298","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"119","23.974301","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"120","24.205202","192.168.56.101","8.8.8.8","DNS","76","Standard query 0xab76 A www.msftncsi.com"
"121","24.253608","8.8.8.8","192.168.56.101","DNS","182","Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 96.17.176.177 A 96.17.176.171"
"122","24.261814","192.168.56.101","96.17.176.177","TCP","66","49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"123","24.285833","96.17.176.177","192.168.56.101","TCP","58","80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"124","24.286039","192.168.56.101","96.17.176.177","TCP","54","49159  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"125","24.287147","192.168.56.101","96.17.176.177","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"126","24.287978","96.17.176.177","192.168.56.101","TCP","54","80  >  49159 [ACK] Seq=1 Ack=98 Win=65535 Len=0"
"127","24.303770","96.17.176.177","192.168.56.101","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"128","24.304020","96.17.176.177","192.168.56.101","TCP","54","80  >  49159 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
"129","24.304264","192.168.56.101","96.17.176.177","TCP","54","49159  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0"
