,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
1,2,2e-06,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
2,3,1.001074,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
3,4,1.001078,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
4,5,2.00107,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
5,6,2.001074,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
6,7,3.000139,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,3.000143,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,3.00015,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
9,10,3.002739,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
10,11,3.002741,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
11,12,3.010921,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
12,13,3.010923,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
13,14,3.027262,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
14,15,3.027264,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
15,16,3.030319,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
16,17,3.030321,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
17,18,3.043079,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
18,19,3.043082,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
19,20,3.080044,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
20,21,3.080046,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
21,22,3.080282,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
