,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,***.***.***.***,***.***.***.***,TCP,54,"443  >  49188 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
1,2,7.987255,***.***.***.***,***.***.***.***,TCP,54,"[TCP Retransmission] 443  >  49188 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
2,3,22.986905,***.***.***.***,***.***.***.***,TCP,54,"[TCP Retransmission] 443  >  49188 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
3,4,23.348133,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
4,5,24.3711,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
5,6,25.395135,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
6,7,27.228412,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,28.242625,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,29.1248,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
9,10,29.124802,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
10,11,29.266474,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,30.127345,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
12,13,30.127348,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
13,14,31.130473,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
14,15,31.130475,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
15,16,31.296607,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
16,17,32.129189,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
17,18,32.129193,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
18,19,32.129225,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
19,20,32.132658,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
20,21,32.132659,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
21,22,32.145966,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
22,23,32.145967,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
23,24,32.167381,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
24,25,32.167383,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
25,26,32.182793,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
26,27,32.182795,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
27,28,32.191989,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
28,29,32.191991,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
29,30,32.208676,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
30,31,32.208678,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
31,32,32.20891,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
32,33,32.208912,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
33,34,32.209396,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
34,35,32.209398,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
35,36,32.235074,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
36,37,32.235075,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x4163 A isatap
37,38,32.282213,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
38,39,32.282215,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 ANY None
39,40,32.285131,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
40,41,32.285133,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
41,42,32.28514,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
42,43,32.439553,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
43,44,32.439556,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
44,45,32.476292,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
45,46,32.476295,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
46,47,32.624788,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
47,48,32.624793,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
48,49,32.775499,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
49,50,32.775501,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
50,51,32.788708,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
51,52,32.78871,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
52,53,32.953044,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
53,54,32.953048,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
54,55,32.953107,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
55,56,32.953108,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
56,57,32.953143,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
57,58,32.953144,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
58,59,32.954816,***.***.***.***,***.***.***.***,UDP,666,65391  >  3702 Len=624
59,60,32.954819,***.***.***.***,***.***.***.***,UDP,666,65391  >  3702 Len=624
60,61,33.049656,***.***.***.***,***.***.***.***,UDP,666,65391  >  3702 Len=624
61,62,33.04966,***.***.***.***,***.***.***.***,UDP,666,65391  >  3702 Len=624
62,63,33.187376,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
63,64,33.187381,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
64,65,33.606291,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xc4c8 A wpad
65,66,33.606293,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xc4c8 A wpad
66,67,33.705249,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
67,68,33.705252,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
68,69,33.705305,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
69,70,33.705307,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
70,71,33.705342,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
71,72,33.705344,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
72,73,33.705721,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xc4c8 A wpad
73,74,33.705722,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xc4c8 A wpad
74,75,33.925653,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
75,76,33.925657,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
76,77,33.967516,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
77,78,33.967519,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
78,79,34.454446,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
79,80,34.454451,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
80,81,34.454526,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
81,82,34.454527,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
82,83,34.454592,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
83,84,34.454593,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
84,85,34.656038,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
85,86,34.656041,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
86,87,34.689753,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x971a A isatap
87,88,34.689754,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x971a A isatap
88,89,34.797012,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x971a A isatap
