,No.,Time,Source,Destination,Protocol,Length,Info
58,59,15.960808,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
59,60,15.960813,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
60,61,16.051401,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
61,62,16.051404,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
62,63,16.545395,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
63,64,16.545397,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
64,65,16.550427,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
65,66,16.550429,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
66,67,16.612904,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
67,68,16.612907,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
68,69,16.61296,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
69,70,16.612961,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
70,71,16.612995,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
71,72,16.612996,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
72,73,16.645593,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
73,74,16.645594,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
74,75,16.850073,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
75,76,16.850077,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
76,77,17.304388,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
77,78,17.30439,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
78,79,17.365401,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
79,80,17.365403,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
80,81,17.365454,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
81,82,17.365455,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
82,83,17.365494,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
83,84,17.365495,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
84,85,17.411203,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
85,86,17.411205,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc4c8 A isatap
86,87,17.597873,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
87,88,17.597878,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
88,89,17.618121,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
89,90,17.618123,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
90,91,18.040892,***.***.***.***,***.***.***.***,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
91,92,18.058121,***.***.***.***,***.***.***.***,DNS,158,Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
92,93,18.120346,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
93,94,18.120357,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
94,95,18.347864,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
95,96,18.347868,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
96,97,18.363567,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
97,98,18.36357,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
98,99,18.394208,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
99,100,18.394212,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
100,101,18.433053,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
101,102,18.433054,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
102,103,18.463366,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
103,104,18.463368,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
104,105,18.490295,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
105,106,18.490299,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
106,107,18.771401,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
107,108,18.771403,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
108,109,18.785512,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
109,110,18.785513,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
110,111,18.863292,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
111,112,18.863296,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
112,113,19.112011,***.***.***.***,***.***.***.***,DNS,76,Standard query 0xab76 A www.msftncsi.com
113,114,19.121674,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
114,115,19.121676,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
115,116,19.143101,***.***.***.***,***.***.***.***,DNS,182,Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A ***.***.***.*** A ***.***.***.***
116,117,19.150322,***.***.***.***,***.***.***.***,TCP,66,49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
117,118,19.163505,***.***.***.***,***.***.***.***,TCP,58,"80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
118,119,19.16367,***.***.***.***,***.***.***.***,TCP,54,49159  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
119,120,19.164893,***.***.***.***,***.***.***.***,HTTP,151,GET /ncsi.txt HTTP/1.1 
120,121,19.165031,***.***.***.***,***.***.***.***,TCP,54,80  >  49159 [ACK] Seq=1 Ack=98 Win=65535 Len=0
121,122,19.181331,***.***.***.***,***.***.***.***,HTTP,233,HTTP/1.1 200 OK  (text/plain)
122,123,19.18152,***.***.***.***,***.***.***.***,TCP,54,"80  >  49159 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
123,124,19.181786,***.***.***.***,***.***.***.***,TCP,54,49159  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0
124,125,19.181933,***.***.***.***,***.***.***.***,TCP,54,"49159  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
125,126,19.182074,***.***.***.***,***.***.***.***,TCP,54,80  >  49159 [ACK] Seq=181 Ack=99 Win=65535 Len=0
126,127,19.618636,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
127,128,19.618639,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
128,129,19.867467,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
129,130,19.867469,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
130,131,19.875906,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
131,132,19.875908,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
132,133,19.875917,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
133,134,19.883753,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
134,135,19.883755,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
135,136,19.883759,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
136,137,19.979749,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
137,138,19.979751,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x025f A isatap
138,139,20.179082,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
139,140,20.179087,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
140,141,20.363597,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
141,142,20.3636,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
142,143,20.927044,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
