,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,1.022765,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
2,3,2.046292,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
3,4,2.913064,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
4,5,2.913067,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
5,6,3.913529,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
6,7,3.913533,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
7,8,3.994969,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,4.913501,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
9,10,4.913505,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
10,11,5.022361,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,5.915274,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
12,13,5.915289,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
13,14,5.915326,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
14,15,5.930632,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
15,16,5.930634,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
16,17,5.931175,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
17,18,5.931176,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
18,19,5.934951,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
19,20,5.934953,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
20,21,5.938932,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
21,22,5.938934,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
22,23,5.977324,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
23,24,5.977326,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
24,25,5.995879,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
25,26,5.995881,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
26,27,5.996119,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
27,28,5.99612,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
28,29,5.996725,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
29,30,5.996727,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
30,31,6.038437,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
31,32,6.038438,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
32,33,6.038774,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
33,34,6.038789,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
34,35,6.072778,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
35,36,6.07278,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
36,37,6.072787,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
37,38,6.247316,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
38,39,6.247319,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
39,40,6.252884,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
40,41,6.252887,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
41,42,6.413276,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
42,43,6.41328,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
43,44,6.55678,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
44,45,6.556782,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
45,46,6.575772,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
46,47,6.575774,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
47,48,6.727301,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
48,49,6.727309,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
49,50,6.741346,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
50,51,6.741349,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
51,52,6.741409,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
52,53,6.74141,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
53,54,6.741475,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
54,55,6.741476,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
55,56,6.820658,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
56,57,6.820661,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
57,58,6.991725,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
58,59,6.991727,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
59,60,7.394045,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
60,61,7.394047,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
61,62,7.491389,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
62,63,7.491394,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
63,64,7.491847,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
64,65,7.491848,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 A wpad
65,66,7.492013,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
66,67,7.492014,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
67,68,7.492588,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
68,69,7.49259,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
69,70,7.695335,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
70,71,7.695338,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
71,72,7.742056,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
72,73,7.742059,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
73,74,8.242826,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
74,75,8.24283,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
75,76,8.242888,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
76,77,8.242889,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
77,78,8.242923,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
78,79,8.242924,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
79,80,8.44503,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
80,81,8.445034,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
81,82,8.495535,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x21c1 A isatap
82,83,8.495536,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x21c1 A isatap
83,84,8.604889,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x21c1 A isatap
84,85,8.604891,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x21c1 A isatap
85,86,8.805061,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
86,87,8.805066,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
87,88,8.966396,***.***.***.***,***.***.***.***,DNS,85,Standard query 0xc4c8 A teredo.ipv6.microsoft.com
88,89,8.98667,***.***.***.***,***.***.***.***,DNS,158,Standard query response 0xc4c8 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
89,90,8.999033,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
90,91,8.999036,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
91,92,9.194341,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
92,93,9.194345,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
93,94,9.243415,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
94,95,9.243419,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
95,96,9.316642,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
96,97,9.316644,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
97,98,9.342532,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
98,99,9.342534,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
99,100,9.368533,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
100,101,9.368535,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
101,102,9.539266,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
102,103,9.539267,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
103,104,9.554075,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
104,105,9.554079,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
105,106,9.554556,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
106,107,9.554558,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
107,108,9.743652,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
108,109,9.743655,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
109,110,9.954768,***.***.***.***,***.***.***.***,DNS,76,Standard query 0x971a A www.msftncsi.com
110,111,9.988221,***.***.***.***,***.***.***.***,DNS,182,Standard query response 0x971a A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A ***.***.***.*** A ***.***.***.***
111,112,9.995565,***.***.***.***,***.***.***.***,TCP,66,49160  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
112,113,10.012432,***.***.***.***,***.***.***.***,TCP,58,"80  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
113,114,10.012655,***.***.***.***,***.***.***.***,TCP,54,49160  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
114,115,10.01391,***.***.***.***,***.***.***.***,HTTP,151,GET /ncsi.txt HTTP/1.1 
115,116,10.014048,***.***.***.***,***.***.***.***,TCP,54,80  >  49160 [ACK] Seq=1 Ack=98 Win=65535 Len=0
116,117,10.030865,***.***.***.***,***.***.***.***,HTTP,233,HTTP/1.1 200 OK  (text/plain)
117,118,10.031031,***.***.***.***,***.***.***.***,TCP,54,"80  >  49160 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
118,119,10.031322,***.***.***.***,***.***.***.***,TCP,54,49160  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0
119,120,10.031962,***.***.***.***,***.***.***.***,TCP,54,"49160  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
120,121,10.032115,***.***.***.***,***.***.***.***,TCP,54,80  >  49160 [ACK] Seq=181 Ack=99 Win=65535 Len=0
121,122,10.310399,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
122,123,10.310403,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
123,124,10.496042,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
124,125,10.496045,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
125,126,11.058901,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xab76 A isatap
126,127,11.058902,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xab76 A isatap
127,128,11.078928,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
128,129,11.078931,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
129,130,11.078939,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
130,131,11.089595,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
131,132,11.089597,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
132,133,11.089602,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
133,134,11.166817,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xab76 A isatap
134,135,11.166818,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xab76 A isatap
135,136,11.242259,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
136,137,11.242262,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1e>
137,138,11.36899,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
138,139,11.368995,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
139,140,12.002038,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
140,141,12.002043,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
141,142,12.018385,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
142,143,12.018388,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
143,144,12.1185,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
144,145,12.118504,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
145,146,12.295935,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
146,147,12.295939,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
