,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,1.027509,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
2,3,2.04797,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
3,4,3.816798,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
4,5,4.836815,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
5,6,5.858767,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
6,7,7.883254,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,8.895375,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,9.92047,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
9,10,11.952775,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
10,11,12.609616,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
11,12,12.609619,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
12,13,12.959663,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
13,14,13.610588,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
14,15,13.610592,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
15,16,13.98352,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
16,17,14.612954,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
17,18,14.612958,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
18,19,15.610066,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
19,20,15.61007,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
20,21,15.61009,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
21,22,15.612807,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
22,23,15.612808,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
23,24,15.619124,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
24,25,15.619126,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
25,26,15.628631,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
26,27,15.628632,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
27,28,15.631006,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
28,29,15.631008,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
29,30,15.647991,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
30,31,15.647994,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
31,32,15.692176,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
32,33,15.692179,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
33,34,15.692436,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
34,35,15.692438,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
35,36,15.69261,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
36,37,15.692612,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
37,38,15.720339,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
38,39,15.720341,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xe98b A isatap
39,40,15.735222,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
40,41,15.735224,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0xd671 ANY None
41,42,15.770543,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
42,43,15.770547,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
43,44,15.770556,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
44,45,15.929213,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
45,46,15.929217,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
46,47,15.972419,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
47,48,15.972421,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
48,49,16.10932,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
49,50,16.109322,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
50,51,16.27177,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
51,52,16.271772,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
52,53,16.290124,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
53,54,16.290126,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
54,55,16.444702,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
55,56,16.444707,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
56,57,16.444807,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
57,58,16.444809,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
58,59,16.444854,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
59,60,16.444855,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
60,61,16.460761,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
61,62,16.460764,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
62,63,16.548179,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
63,64,16.548183,***.***.***.***,***.***.***.***,UDP,666,62407  >  3702 Len=624
64,65,16.67431,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
65,66,16.674314,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
