,No.,Time,Source,Destination,Protocol,Length,Info
60,61,9.685116,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
61,62,10.122518,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
62,63,10.122519,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
63,64,10.199518,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
64,65,10.19952,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
65,66,10.199568,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
66,67,10.199569,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
67,68,10.199602,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
68,69,10.199603,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
69,70,10.23154,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
70,71,10.231542,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
71,72,10.433908,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
72,73,10.433912,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
73,74,10.434231,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
74,75,10.434232,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
75,76,10.950049,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
76,77,10.950063,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
77,78,10.950176,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
78,79,10.950177,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
79,80,10.950239,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
80,81,10.95024,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
81,82,11.184183,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
82,83,11.184186,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
83,84,11.186507,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
84,85,11.18651,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
85,86,11.295002,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
