,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
1,2,2e-06,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
2,3,1.001074,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
3,4,1.001078,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
4,5,2.00107,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
5,6,2.001074,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,3.000139,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
7,8,3.000143,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
8,9,3.00015,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
9,10,3.002739,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
10,11,3.002741,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
11,12,3.010921,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
12,13,3.010923,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
13,14,3.027262,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
14,15,3.027264,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
15,16,3.030319,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
16,17,3.030321,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
17,18,3.043079,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
18,19,3.043082,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
19,20,3.080044,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
20,21,3.080046,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
21,22,3.080282,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
22,23,3.080283,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
23,24,3.080468,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
24,25,3.08047,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
25,26,3.110262,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
26,27,3.110264,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
27,28,3.125834,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
28,29,3.125835,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
29,30,3.145577,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
30,31,3.145579,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
31,32,3.145586,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
32,33,3.31899,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
33,34,3.318994,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
34,35,3.347859,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
35,36,3.347861,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
36,37,3.504705,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
37,38,3.504709,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
38,39,3.647979,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
39,40,3.64798,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
40,41,3.657745,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
41,42,3.657747,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
42,43,3.828339,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
43,44,3.828344,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
44,45,3.828406,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
45,46,3.828408,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
46,47,3.828439,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
47,48,3.828441,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
48,49,3.831264,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
49,50,3.831267,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
50,51,3.92193,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
51,52,3.921933,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
52,53,4.062552,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
53,54,4.062554,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
54,55,4.501651,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
55,56,4.501652,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
56,57,4.585039,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
57,58,4.585044,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
58,59,4.585149,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
59,60,4.585164,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
60,61,4.585261,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
61,62,4.585264,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
62,63,4.600239,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
63,64,4.600241,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
64,65,4.800098,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
65,66,4.800102,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
66,67,4.81502,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
67,68,4.815023,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
68,69,5.331034,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
69,70,5.331038,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
70,71,5.331096,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
71,72,5.331098,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
72,73,5.331137,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
73,74,5.33115,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
74,75,5.546846,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
75,76,5.54685,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
76,77,5.566783,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
77,78,5.566785,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
78,79,5.672326,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
79,80,5.672328,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
80,81,5.880669,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
81,82,5.880673,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
82,83,6.013926,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xab76 A teredo.ipv6.microsoft.com
83,84,6.032825,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0xab76 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
84,85,6.082202,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
85,86,6.082206,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
86,87,6.297311,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
87,88,6.297315,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
88,89,6.346748,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
89,90,6.346753,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
90,91,6.365219,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
91,92,6.365221,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
92,93,6.393719,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
93,94,6.393722,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
94,95,6.423554,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
95,96,6.423558,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
96,97,6.639462,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
97,98,6.639466,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
