,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.028363,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.04707,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,3.832705,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,4.863504,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,5.887482,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,7.915322,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,8.927375,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,9.951023,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
9,10,11.977132,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
10,11,12.994431,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
11,12,13.941838,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
12,13,13.941841,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,14.014956,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
14,15,14.942169,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
15,16,14.942174,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
16,17,15.944704,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
17,18,15.944708,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
18,19,16.041718,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
19,20,16.943881,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
20,21,16.943885,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
21,22,16.943913,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
22,23,16.94649,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
23,24,16.946493,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
24,25,16.959057,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
25,26,16.959058,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
26,27,16.96532,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
27,28,16.965322,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
28,29,16.969342,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
29,30,16.969344,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
30,31,16.988459,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
31,32,16.988461,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
32,33,17.023175,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
33,34,17.023177,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
34,35,17.023412,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
35,36,17.023414,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
36,37,17.023837,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
37,38,17.023839,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
38,39,17.051048,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
39,40,17.051049,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xe98b A isatap
40,41,17.065089,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
41,42,17.065091,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xd671 ANY None
42,43,17.082523,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
43,44,17.082525,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
44,45,17.082532,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
45,46,17.259677,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
46,47,17.259681,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
47,48,17.291302,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
48,49,17.291304,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
49,50,17.439507,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
50,51,17.439511,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
51,52,17.605311,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
52,53,17.605313,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
53,54,17.62096,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
54,55,17.620962,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
55,56,17.768748,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
56,57,17.768752,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
57,58,17.768845,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
58,59,17.768847,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
59,60,17.768897,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
