"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"2","1.026977","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"3","2.048871","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"4","3.954876","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"5","4.959582","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","5.983954","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"7","8.008854","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"8","9.033427","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"9","10.047148","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"10","12.039793","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"11","12.039795","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"12","12.074406","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"13","13.044059","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"14","13.044062","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"15","13.087104","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"16","14.035098","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"17","14.035102","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"18","14.111629","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"19","15.034920","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"20","15.034924","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"21","15.034978","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"22","15.051539","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"23","15.051541","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"24","15.052247","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"25","15.052248","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"26","15.084274","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"27","15.084276","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"28","15.088386","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"29","15.088388","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"30","15.094619","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"31","15.094621","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"32","15.117216","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"33","15.117218","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"34","15.117380","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"35","15.117382","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"36","15.117971","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"37","15.117973","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"38","15.194401","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"39","15.194403","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x4163 ANY None"
"40","15.210421","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"41","15.210423","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"42","15.210430","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"43","15.379303","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"44","15.379307","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"45","15.538191","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"46","15.538195","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"47","15.772718","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"48","15.772720","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"49","15.798371","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"50","15.798373","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"51","15.800547","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"52","15.800549","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"53","15.865566","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"54","15.865571","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"55","15.865630","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"56","15.865631","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"57","15.865668","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"58","15.865669","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"59","15.960808","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"60","15.960813","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"61","16.051401","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"62","16.051404","192.168.56.101","239.255.255.250","UDP","666","57521  >  3702 Len=624"
"63","16.545395","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"64","16.545397","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"65","16.550427","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"66","16.550429","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"67","16.612904","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"68","16.612907","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"69","16.612960","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"70","16.612961","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"71","16.612995","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"72","16.612996","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"73","16.645593","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"74","16.645594","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 A wpad"
"75","16.850073","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"76","16.850077","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"77","17.304388","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"78","17.304390","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"79","17.365401","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"80","17.365403","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"81","17.365454","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"82","17.365455","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"83","17.365494","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"84","17.365495","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"85","17.411203","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"86","17.411205","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0xc4c8 A isatap"
"87","17.597873","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"88","17.597878","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"89","17.618121","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"90","17.618123","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"91","18.040892","192.168.56.101","8.8.8.8","DNS","85","Standard query 0x971a A teredo.ipv6.microsoft.com"
"92","18.058121","8.8.8.8","192.168.56.101","DNS","158","Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com"
"93","18.120346","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"94","18.120357","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"95","18.347864","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"96","18.347868","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"97","18.363567","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"98","18.363570","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"99","18.394208","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"100","18.394212","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"101","18.433053","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"102","18.433054","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"103","18.463366","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"104","18.463368","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"105","18.490295","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"106","18.490299","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"107","18.771401","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"108","18.771403","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"109","18.785512","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"110","18.785513","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"111","18.863292","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"112","18.863296","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"113","19.112011","192.168.56.101","8.8.8.8","DNS","76","Standard query 0xab76 A www.msftncsi.com"
"114","19.121674","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"115","19.121676","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"116","19.143101","8.8.8.8","192.168.56.101","DNS","182","Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 96.17.176.171 A 96.17.176.177"
"117","19.150322","192.168.56.101","96.17.176.171","TCP","66","49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"118","19.163505","96.17.176.171","192.168.56.101","TCP","58","80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"119","19.163670","192.168.56.101","96.17.176.171","TCP","54","49159  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"120","19.164893","192.168.56.101","96.17.176.171","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"121","19.165031","96.17.176.171","192.168.56.101","TCP","54","80  >  49159 [ACK] Seq=1 Ack=98 Win=65535 Len=0"
"122","19.181331","96.17.176.171","192.168.56.101","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"123","19.181520","96.17.176.171","192.168.56.101","TCP","54","80  >  49159 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
"124","19.181786","192.168.56.101","96.17.176.171","TCP","54","49159  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0"
"125","19.181933","192.168.56.101","96.17.176.171","TCP","54","49159  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
